region_name,density,hemisphere,lobe
PFC,0.91,bilateral,frontal
DLPFC,0.88,bilateral,frontal
ACC,0.82,bilateral,frontal
OFC,0.79,bilateral,frontal
M1,0.61,bilateral,frontal
PMC,0.65,bilateral,frontal
SMA,0.58,bilateral,frontal
S1,0.47,bilateral,parietal
PPC,0.52,bilateral,parietal
IPL,0.49,bilateral,parietal
SPL,0.44,bilateral,parietal
V1,0.22,bilateral,occipital
V2,0.28,bilateral,occipital
V4,0.35,bilateral,occipital
MT,0.31,bilateral,occipital
STG,0.55,bilateral,temporal
MTG,0.51,bilateral,temporal
ITG,0.46,bilateral,temporal
HPC,0.38,bilateral,temporal
AMY,0.72,bilateral,temporal
INS,0.69,bilateral,frontal
